fact_id,qid,name_a_dev,name_a_lat,name_b_dev,name_b_lat,dev_lang,relation_tier_num,relation_tier,name_b_dev_source,name_b_lat_source,generated_lat,name_b_cross_score,occupation_qids,country_qids,lang_priority,a_b_dev_similarity,audit_pass,issues,split,sim_first_name,sim_second_name,devanagari_pair_similarity,machine_notes,same_person,both_are_real_names,two_scripts_same_name_a,two_scripts_same_name_b,keep,reviewer_notes,source_url,review_method,corpus_batch,name_a_dev_source,name_a_lat_source,name_a_cross_score,a_b_lat_similarity,sitelink_count
q121180,Q121180,व्लाडिसलाव रेमोंट,Władysław Reymont,व्लाडिसलाव स्टैनिस्लाव रिजमेंट,Władysław Stanisław Rejment,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,58.82352941,Q12144794|Q28389|Q36180|Q482980|Q6625963,Q207272|Q34266,0,65.11627907,1,,train,0.5,0.52,0.55,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q121180,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q12897,Q12897,पेले,Pelé,एडिसन अरांटिस डो नैसिमेंटो,Edson Arantes do Nascimento,hi,2,explicit_plus_alias:birth_name,verified_hindi,P1477,FALSE,74.50980392,Q10800557|Q2066131|Q33999|Q36834|Q639669|Q82955|Q937857,Q155,0,7.407407407,1,,train,1,0.79,0,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q12897,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,verified_hindi,,,,
q13021,Q13021,विनोबा भावे,Vinoba Bhave,विनायक नरहरि भावे,Vinayak Narahari Bhave,hi,3,alias_observed,verified_hindi,alias,FALSE,97.56097561,Q1476215|Q16611574|Q36180|Q4964182|Q82955,Q129286|Q1775277|Q668,0,64,1,,validation,0.92,0.84,0.53,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q13021,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,verified_hindi,,,,
q131318,Q131318,जुआन रामोन जिमेनेज़,Juan Ramón Jiménez,जुआन रेमन जिमेनेज़ मंटेकोन,Juan Ramón Jiménez Mantecón,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,59.25925926,Q36180|Q49757|Q8178443,Q29,0,81.08108108,1,,train,0.73,0.73,0.83,one Latin name contains the other,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q131318,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q131333,Q131333,जॉर्ज एलियट,George Eliot,मैरी ऐनी इवांस,Mary Anne Evans,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,57.14285714,Q11774202|Q1607826|Q1930187|Q333634|Q36180|Q4964182|Q49757|Q6625963,Q174193,0,16.66666667,1,,train,0.45,0.57,0.25,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q131333,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q131660,Q131660,डोमिनिक डी विलेपिन,Dominique de Villepin,डोमिनिक मैरी फ्रांकोइस रेने गैलोज़्यू डी विलेपिन,Dominique Marie François René Galouzeau de Villepin,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,59.77011494,Q10732476|Q193391|Q20771242|Q2285706|Q36180|Q40348|Q486839|Q6501749|Q7330070|Q82955|Q83307,Q142,0,63.15789474,1,,test,0.58,0.58,0.62,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q131660,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q132524,Q132524,एयन रैण्ड,Ayn Rand,अलिसा ज़िनोवयेवना रोसेनबाम,Alisa Zinovyevna Rosenbaum,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,84.61538462,Q11774202|Q18844224|Q1930187|Q214917|Q28389|Q36180|Q4263842|Q4964182|Q6625963,Q139319|Q15180|Q2184|Q223050|Q30|Q34266,0,18.75,1,,train,0.8,0.83,0.3,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q132524,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q133050,Q133050,सुसान सरंडन,Susan Sarandon,सुसान अबीगैल टोमालिन,Susan Abigail Tomalin,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,82.92682927,Q10798782|Q10800557|Q15253558|Q2405480|Q3282637|Q33999,Q30,0,45.16129032,1,,train,0.6,0.78,0.44,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q133050,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q134463226,Q134463226,फ़र्की शीक्स,Furky Sheeks,फुरकान मामूर,Furkan Mamur,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,76.92307692,Q1053574|Q2252262|Q2405480|Q266569|Q28389|Q488205|Q639669|Q7042855|Q779815,Q43,0,36.36363636,1,,train,0.58,0.77,0.46,could not verify the entity: 'Furky Sheeks' looks like a handle; entity very obscure,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q134463226,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q134741,Q134741,केमिली पिस्सारो,Camille Pissarro,जैकब अब्राहम केमिली पिस्सारो,Jacob Abraham Camille Pissarro,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,71.69811321,Q1028181|Q11569986|Q16947657|Q1925963|Q2079935|Q20857490,Q142|Q756617,0,64.70588235,1,,train,0.62,0.65,0.6,one Latin name contains the other,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q134741,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,manual,,,,
q135610,Q135610,ब्रेट होल्मन,Brett Holman,ब्रेट ट्रेवर होल्मन,Brett Trevor Holman,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,78.94736842,Q937857,Q408,0,71.42857143,1,,train,0.95,0.88,0.74,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q135610,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q1384896,Q1384896,मार्सेल-पॉल शुट्ज़ेनबर्गर,Marcel-Paul Schützenberger,मार्को शुट्ज़ेनबर्गर,Marco Schützenberger,hi,2,explicit_plus_alias:pseudonym,google_en_to_hi,P742,FALSE,60,Q1622272|Q170790|Q2732142|Q39631|Q82594,Q142,0,81.81818182,1,,train,0.71,0.74,0.81,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q1384896,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q1428440,Q1428440,माइकल क्लार्क,Michael Clarke,माइकल जॉन क्लार्क,Michael John Clarke,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,59.45945946,Q12299841,Q408,0,89.65517241,1,,train,0.62,0.65,0.89,"the two Devanagari names are 89% similar, so Dev-Dev is near-trivial while Lat-Lat is not",yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q1428440,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q146929,Q146929,अजय देवगन,Ajay Devgn,विशाल वीरू देवगन,Vishal Veeru Devgan,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,alias,FALSE,80,Q10800557|Q2526255|Q3282637|Q33999|Q43845,Q668,0,36.36363636,1,,train,0.89,0.8,0.38,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q146929,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q147589,Q147589,कोलो टूरे,Kolo Touré,कोलो अबीब टूरे,Kolo Abib Touré,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,81.48148148,Q628099|Q937857,Q1008,0,80,1,,test,0.89,0.85,0.73,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q147589,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q148285,Q148285,ओशो,Osho,चंद्र मोहन जैन,Chandra Mohan Jain,hi,1,explicit_observed:birth_name,google_en_to_hi,P1477,FALSE,90.90909091,Q12328016|Q15995642|Q18814623|Q36180|Q37226|Q484260,Q129286|Q1775277|Q668,0,12.5,1,,train,1,0.86,0,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q148285,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q150552,Q150552,फ्रांज वॉन पापेन,Franz von Papen,फ्रांज जोसेफ हरमन माइकल मारिया वॉन पापेन,Franz Joseph Hermann Michael Maria von Papen,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,68.96551724,Q189290|Q193391|Q302691|Q47064|Q82955,Q1206012|Q183,0,58.18181818,1,,train,0.62,0.72,0.56,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q150552,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q150688,Q150688,पोर्फिरियो डियाज़,Porfirio Díaz,जोस डे ला क्रूज़ पोर्फिरियो डियाज़ मोरी,José de la Cruz Porfirio Díaz Mori,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,58.46153846,Q47064|Q82955,Q96,0,59.57446809,1,,test,0.69,0.65,0.64,one Latin name contains the other,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q150688,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q15081116,Q15081116,डेल्सी रोड्रिग्ज,Delcy Rodriguez,डेल्सी एलोइना रोड्रिग्ज गोमेज़,Delcy Eloína Rodríguez Gómez,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,61.81818182,Q185351|Q193391|Q40348|Q4825937|Q82955,Q717,0,73.17073171,1,,train,0.67,0.74,0.7,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q15081116,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q156347,Q156347,लता मंगेशकर,Lata Mangeshkar,लता जी,Lataji,hi,3,alias_observed,verified_hindi,alias,FALSE,100,Q10800557|Q1415090|Q1755412|Q177220|Q3282637|Q639669,Q668,0,40,1,,train,0.85,0.77,0.4,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q156347,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,verified_hindi,,,,
q156501,Q156501,सआदत हसन मंटो,Saadat Hasan Manto,मंटो,Manto,hi,2,explicit_plus_alias:pseudonym,verified_hindi,P742,FALSE,80,Q15949613|Q1930187|Q28389|Q333634|Q36180|Q6625963,Q129286|Q2006542|Q668|Q843,0,53.33333333,1,,test,0.83,0.8,0.36,one Latin name contains the other,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q156501,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,verified_hindi,,,,
q1615,Q1615,नील आर्मस्ट्रांग,Neil Armstrong,नील एल्डन आर्मस्ट्रांग,Neil Alden Armstrong,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,82.92682927,Q10497074|Q11631|Q1622272|Q2095549|Q730242|Q7890793,Q30,0,72.22222222,1,,train,0.76,0.85,0.82,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q1615,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q16382,Q16382,श्रीमद राजचन्द्र,Shrimad Rajchandra,कवि,Kavi,hi,3,alias_observed,verified_hindi,alias,FALSE,100,Q4964182,Q129286,0,0,1,,test,0.81,0.86,0,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q16382,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,verified_hindi,,,,
q163900,Q163900,फ्रांसिस जेवियर,Francis Xavier,गोयचो सैब,Gõycho Saib,hi,1,explicit_observed:nickname,google_en_to_hi,P1449,FALSE,72.72727273,Q11900058|Q1469535|Q219477|Q36180|Q98833890,Q200262|Q217196,0,8,1,,train,0.55,0.86,0.13,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q163900,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q173714,Q173714,मैक्स यूवे,Max Euwe,मैकगिलिस यूवे,Machgielis Euwe,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,60,Q10873124|Q15916915|Q1622272|Q170790|Q36180|Q82594,Q29999,0,76.92307692,1,,test,0.35,0.6,0.8,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q173714,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q180383,Q180383,हेलेन क्लार्क,Helen Clark,हेलेन एलिजाबेथ क्लार्क,Helen Elizabeth Clark,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,76.19047619,Q1238570|Q1622272|Q82955,Q664,0,73.33333333,1,,train,0.8,0.8,0.74,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q180383,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q181383,Q181383,महाथिर मोहम्मद,Mahathir Mohamad,महाथिर बिन मोहम्मद,Mahathir bin Mohamad,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,90,Q18814623|Q2285706|Q2994387|Q3555589|Q36180|Q39631|Q61061|Q82955,Q833|Q871091,0,82.75862069,1,,train,0.79,0.86,0.8,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q181383,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q182870,Q182870,मारियो प्यूज़ो,Mario Puzo,मारियो जियानलुइगी पूज़ो,Mario Gianluigi Puzo,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,75,Q18844224|Q193391|Q28389|Q36180|Q6625963,Q30,0,66.66666667,1,,validation,0.76,0.71,0.62,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q182870,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q184218,Q184218,रयान बेबेल,Ryan Babel,रयान गुनो बेबेल,Ryan Guno Babel,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,89.65517241,Q937857,Q29999,0,81.81818182,1,,train,0.8,0.86,0.86,"the two Devanagari names are 86% similar, so Dev-Dev is near-trivial while Lat-Lat is not",yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q184218,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q184572,Q184572,मार्टिन शीन,Martin Sheen,रेमन एंटोनियो गेरार्डो एस्टेवेज़,Ramon Antonio Gerardo Estevez,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,85.18518519,Q10798782|Q10800557|Q15253558|Q2059704|Q2259451|Q2405480|Q2526255|Q3282637|Q33999|Q3455803|Q578109,Q27|Q30,0,21.05263158,1,,train,0.75,0.81,0.26,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q184572,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q193517,Q193517,एमिली ब्लंट,Emily Blunt,एमिली ओलिविया लिआ ब्लंट,Emily Olivia Leah Blunt,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,71.42857143,Q10798782|Q10800557|Q2259451|Q28389|Q33999,Q145|Q30,0,64.51612903,1,,test,0.76,0.73,0.67,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q193517,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q193568,Q193568,नूनो गोम्स,Nuno Gomes,नूनो मिगुएल सोरेस परेरा रिबेरो,Nuno Miguel Soares Pereira Ribeiro,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,88.13559322,Q937857,Q45,0,40,1,,train,0.94,0.9,0.4,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q193568,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q19848,Q19848,लेडी गागा,Lady Gaga,स्टेफनी जोआन एंजेलिना जर्मनोटा,Stefani Joanne Angelina Germanotta,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,76.66666667,Q10798782|Q10800557|Q12362622|Q15253558|Q177220|Q2059704|Q2405480|Q2526255|Q36834|Q488205|Q753110,Q30,0,22.22222222,1,,train,0.6,0.71,0.1,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q19848,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q201656,Q201656,निक जोनास,Nick Jonas,निकोलस जेरी जोनास,Nicholas Jerry Jonas,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,77.77777778,Q102277154|Q177220|Q33999|Q36834|Q488205,Q30,0,63.63636364,1,,validation,0.89,0.73,0.71,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q201656,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q202237,Q202237,लैंडन डोनोवन,Landon Donovan,लैंडन टिमोथी डोनोवन,Landon Timothy Donovan,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,80.95238095,Q2986228|Q628099|Q937857,Q30,0,81.25,1,,train,0.79,0.77,0.84,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q202237,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q206181,Q206181,हैंक विलियम्स,Hank Williams,ल्यूक द ड्रिफ्टर,Luke the Drifter,hi,2,explicit_plus_alias:pseudonym,google_en_to_hi,P742,FALSE,55.17241379,Q177220|Q21234378|Q2914170|Q36834|Q488205|Q55960555|Q66763670|Q855091,Q30,0,26.08695652,1,,train,0.67,0.59,0.13,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q206181,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q214903,Q214903,डिएगो गोडिन,Diego Godín,डिएगो रॉबर्टो गोडिन लील,Diego Roberto Godín Leal,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,85.10638298,Q937857,Q77,0,64.70588235,1,,train,0.91,0.91,0.63,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q214903,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q2153,Q2153,सुभाष चन्द्र बोस,Subhas Chandra Bose,नेताजी,Netaji,hi,3,alias_observed,verified_hindi,alias,FALSE,100,Q1397808|Q18814623|Q20069267|Q30242234|Q3242115|Q36180|Q82955,Q129286,0,10.52631579,1,,test,0.81,0.86,0,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q2153,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,verified_hindi,,,,
q219780,Q219780,हंटर एस. थॉम्पसन,Hunter S. Thompson,हंटर स्टॉकटन थॉम्पसन,Hunter Stockton Thompson,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,62.74509804,Q11774202|Q18814623|Q1930187|Q28389|Q33231|Q36180|Q42909|Q6625963|Q82955,Q30,0,75,1,,train,0.8,0.73,0.78,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q219780,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
