fact_id,negative_fact_id,negative_match_score
q44482,q3351160,127.00973359644414
q44519,q466623,127.00491365373135
q44593,q34851,127.00910668134689
q44903,q38111,127.00968340158462
q44980,q41533,127.00997839868069
q45901,q516921,127.00856927990914
q464957,q250165,127.00919349193573
q46696,q46780,127.00276593565941
q46780,q46696,127.00972892582416
q47087,q44593,127.00891486048698
q47163,q41523,122.00351389646531
q47478,q156501,127.0092696684599
q47480,q34660,127.00970143854619
q47778,q172792,127.00918958067894
q47846,q132596,127.00743198871612
q48231,q315626,107.00977678835392
q482947,q193568,127.00818481206893
q492527,q159169,127.00929349005223
q5152,q297000,107.00992401778699
q539,q162708,127.00829412937165
q55719,q234898,127.00993586421014
q55722,q55745,127.00996989488601
q55760,q334252,127.00967907130718
q55769,q231690,127.00909569978714
q55781,q9038,127.00993273973465
q57063,q41749,127.00646089673042
q57068,q57063,127.00053427636624
q57159,q41749,127.00902076244354
q57336,q34448,127.00327491939068
q57338,q48231,107.00996645390987
q57373,q152052,127.00997510790825
q57384,q317521,127.0077248698473
q57705,q9061,107.00884988486767
q58441,q12897,127.00168798685074
q59192,q175303,127.00875801920891
q60068,q9535,127.00897218346596
q60903,q35171,127.00969487071038
q687,q80222,107.00998867928982
q7186,q1384896,127.00927946865559
q7241,q38393,127.00973907589912
q7245,q80405,127.00932374715805
q72984,q34460,127.0098538517952
q7299631,q3526352,122.0055260258913
q738368,q250165,127.00995769262313
q7450,q41914,127.00987752616406
q80405,q60903,127.00983643054963
q82180,q36268,107.0073432135582
q8873,q207817,127.00928393900395
q9061,q35610,127.00698520243168
q9161,q57063,127.00838090837001
q93330,q312505,122.00405599534511
q9513,q160554,127.00996884524822
q9535,q377789,127.0094617819786
q9550,q80405,127.0099294757843
q19901232,q1058,127.00802786946296
q17150957,q466623,107.00955449581146
q218401,q346708,127.00238814711571
q250165,q156501,127.00905797183513
q466623,q1132040,127.00834075987339
q793985,q1001,127.00844012141228
q239513,q321330,127.00950409948825
q219724,q310380,107.00956797420979
q164389,q954720,122.00468276977539
q173158,q193517,127.0086779898405
q380445,q3345562,122.00933566093445
q191023,q2808,127.00951110959053
q169846,q202237,107.00995238780975
q377789,q60068,127.00892191410065
q215434,q318549,127.00116874575615
q92608,q37767,127.00969490408897
q191136,q59192,127.00989256560803
q187238,q135610,127.00747536420822
q516921,q483846,127.00149277806283
q192712,q311567,127.00887517690659
q80222,q1384896,127.00998821914196
q310965,q294419,127.00903149724007
q311559,q135610,127.00790388047695
q312345,q462445,122.00452308773994
q318549,q215434,127.00852283000945
q215358,q239513,127.00917919874192
q310380,q189542,122.00186401069165
q321330,q239513,127.00886223614216
q170741,q311567,127.00610686957836
q483846,q45901,127.00526852369309
q80424,q260794,127.00406325221061
q317521,q35686,127.00811321794987
q464234,q135610,107.00988164365292
q191162,q191136,127.00898189604283
q294419,q310965,127.00978683412075
q311567,q170741,127.00833968818188
q260794,q184572,127.00923601329326
q175303,q191162,127.0095836943388
q204068,q487098,122.00554998755455
q172792,q191162,127.00923308730125
q132596,q132345,127.0067983365059
q134798,q47846,127.00273020505905
q152325,q42013,107.00787553787231
q180446,q229087,127.00784935057163
q197736,q234898,127.00996414959431
q466330,q55691,127.00984170496464
q465826,q319824,127.0097555834055
q229073,q219970,127.008410461545
q101547,q297000,127.0074415230751
q160554,q196617,127.009837012887
q229104,q231974,107.00937273919583
q333981,q492527,127.00989180147648
q487098,q560267,127.00892327964306
q3695020,q7241,127.00902265906333
q3528474,q3529650,127.00987501978874
q230571,q192064,127.00961968541145
q313051,q201866,127.00516445577145
q318481,q188939,127.00651373386383
q298547,q146929,122.00077568233013
q469818,q8873,127.0098685836792
q1170634,q3528791,127.00934355080128
q1187662,q1170634,127.00941826045513
q441417,q201866,127.00704755187034
q3531326,q7710745,127.00999269723893
q5769763,q7296749,127.00979626893997
q202006,q42398,107.00968039035797
q3522442,q3530582,127.00974098145961
q3529872,q3527616,127.00967177331448
q214891,q315706,127.0098136895895
q7710745,q3530730,127.00974674522877
q316388,q313140,127.00963512122631
q231974,q233231,127.00536818504334
q233231,q560267,127.00973582923412
q315706,q314714,127.00729194641113
q448360,q868653,127.00527736008168
q57441,q136289912,127.00655069947243
q3349946,q3528791,127.00943582773209
q2724503,q3529612,127.00994673252106
q102664,q34474,127.00723031818866
q868653,q448360,127.00333839714527
q47854,q131355,127.00990448653698
q2312779,q7710745,127.00883815169334
q290438,q159169,127.00997857809067
q3529082,q3345562,127.00925676524639
q2484404,q188128,107.00962050378322
q234898,q334818,127.00978834986687
q83557,q48283,127.00999926030636
q487182,q1029664,127.00989262938499
q188128,q40262,127.00930619835853
q1029664,q560267,127.00937107205391
q3527616,q3529726,127.00983045101165
q4734856,q7453101,127.00803266644478
q3523679,q3530582,127.00991984665394
q3531320,q3530582,127.00946335613727
q39444,q185225,127.00978079855442
q178865,q34474,127.00838421523571
q131120,q1029664,127.00953494012356
q3532499,q3530582,127.00976368129254
q4967983,q5769763,127.00841239452362
q42398,q46602,127.0097273439169
q7375924,q3349946,127.00971768319607
q3528235,q134068,127.0091957360506
q12140927,q42398,127.00982615232468
q319491,q333443,127.0092805916071
q296188,q201866,127.00995562911034
q136289912,q111772343,127.00909399211406
q196617,q9488,127.00961256444454
q38393,q184885,127.00867386221886
q48283,q191957,127.00978711307049
q3531286,q3529872,127.0096859383583
q233289,q379157,127.00994451999664
q315674,q19364,127.00788676798344
q3528375,q6983527,127.009844596982
q737645,q3529726,127.00953429043292
q3523393,q4757536,127.00991236865521
q192064,q233231,127.00903904676437
q3529840,q3531326,127.00965541124344
q3529650,q7710745,127.00915402293205
q3381745,q3345604,127.00935815930366
q46602,q33391,127.00958653450012
q1397496,q188128,127.00957106649875
q315633,q315626,127.00994260072709
q312557,q7241,127.00982861697673
q3345562,q3528235,127.00999230802059
q34105,q42013,127.00769035577774
q3529612,q3530532,127.00996510505676
q3529726,q3522442,127.00977928698063
q48544,q130873,107.00997301459313
q3610406,q3529612,127.00986391484737
q156844,q39444,127.00997487962246
q185085,q315633,127.00919985532761
q273866,q38823,127.0091729325056
q3530628,q2480608,127.00967319488525
q3531144,q6481681,127.00759567975997
q235454,q9513,127.0098985850811
q232451,q330970,127.00944531083107
q1316,q236503,107.00992717087269
q6481681,q7453101,127.00848555266857
q270691,q32923,127.00999071717263
q3530582,q3530730,127.0094985717535
q87075035,q12140927,27.00935958981514
q8867,q157578,107.00868923246861
q30876,q334252,127.00776459157467
q230874,q231690,127.00775640904904
q1232736,q133267,127.00581688821316
q148109,q55760,127.00897855818272
q3345604,q3348218,127.00923038065433
q439635,q508255,127.00988354384899
q231690,q32923,127.00995567679405
q3530532,q3529612,127.00988763511181
q3529603,q2480608,127.00983174562454
q3520028,q2480608,127.00994156122208
q330970,q55745,127.00938947021962
q8597,q485547,127.00116609811784
q3531610,q4967983,127.00976265907288
q111772343,q57441,127.00745322585107
q162708,q539,127.00698183476925
q202054,q313140,107.00967539191247
q298448,q31564,127.00595306515693
q299542,q193768,127.00709956169129
q315579,q179871,127.00921382188797
q333443,q290438,127.00972328484059
q46896,q39444,107.00974448502063
q55780,q55781,127.00771453499794
q735128,q5982945,127.00981589019298
q3530730,q3530628,127.00930267453194
q560267,q487182,127.00949199020863
q297950,q1047,127.00966725230217
q179852,q188120,127.00869921267032
q3531361,q3531326,127.0097160422802
q191736,q233231,127.00941685259342
q1425,q46780,122.00098550021649
q30487,q35314,127.00980867385864
q310376,q131120,127.00990019440651
q4168161,q311523,122.00806898832322
q5982945,q3518308,127.00917748153209
q180535,q105868,122.00060779094696
q48093,q33391,127.00912417769432
q159169,q270691,127.00979075491428
q194439,q43729,127.0094925636053
q207817,q179266,127.00950227379799
q122346,q298448,127.00984811246396
q7296749,q3531141,127.00896072924137
q55713,q179266,127.00969275772572
q34474,q42398,127.00945883095264
q207426,q128999,127.00607070088387
q3520841,q3525755,127.00978699743747
q7193063,q3529819,127.00938243448735
q9038,q55781,127.00331925570964
q3528791,q3058207,127.00980858206749
q2480608,q3532470,127.00962286174297
q380623,q24405,107.0097154957056
q41223,q12140927,127.00923075914383
q3532470,q3532499,127.00948476791382
q191957,q1459658,127.00825522124768
q9488,q465826,127.00830477595329
q3345580,q3529082,127.00838088452817
q6913044,q3525482,127.00931687891483
q3529369,q3529612,127.00997653365135
q315626,q311425,127.00413765728473
q57559,q11662,122.00604603707791
q315665,q315674,127.00826655507088
q487768,q191799,127.00932489097119
q55744,q55745,127.00953438341618
q159059,q194439,127.00869820237159
q1652493,q379157,127.00945454716683
q3518308,q5982945,127.00819672584534
q55745,q212801,127.00997570633888
q3534041,q3532470,127.00950744390488
q179871,q132596,127.0097670263052
q200812,q485946,127.00961527705192
q34661,q472623,107.00864470124245
q3531214,q3527698,127.00869156241417
q133267,q487768,127.00883036375046
q163225,q465826,127.0098808312416
q188120,q47846,127.00872188389302
q26992,q4961182,127.00969757914544
q3528636,q3528375,127.00883303642273
q42013,q34105,127.00667976260185
q60429,q148109,127.00922132492066
q9570,q156347,127.00987315297127
q128999,q207426,127.0053039240837
q3529819,q7193063,127.00680167078971
q201866,q313051,127.00995885312557
q312722,q41563,122.00665951430797
q234814,q2153,127.00971037328243
q3506475,q9513,127.00960546433926
q191123,q42992,127.00822005867958
q219970,q192064,127.00971979439258
q349516,q1392178,127.00797531247139
q57655,q34105,107.00990242362022
q2737023,q3534041,127.00984628736973
q55753,q233289,127.00936915159225
q184261,q189008,127.007588006258
q208104,q194439,127.00884651958943
q3529948,q3529650,127.0099128305912
q212801,q55769,127.00999045848846
q6653212,q3529082,127.009320204854
q635,q8597,107.00780431985855
q132345,q132596,127.00921270668506
q207352,q1029664,107.00951391994953
q310328,q41244,127.00109644949436
q332157,q235454,127.00999719023704
q3348218,q6983527,127.00998743593692
q173540,q5284,127.00380130171776
q295713,q234814,127.00934233486652
q3351844,q810026,127.00953275620937
q8581,q200812,107.00996037900448
q3525505,q3518308,127.00978382885457
q109397,q160206,127.00938529789448
q19364,q315674,127.0082746130228
q3058207,q3345562,127.00799357533455
q319824,q3506475,127.0099255245924
q462445,q312345,122.00675323724747
q55757,q334252,127.00991313099861
q334818,q7450,127.00963292896748
q52183,q152052,127.00917059123516
q152052,q134068,127.00847117900848
q160518,q192712,122.00322663903236
q313956,q290438,127.00972312867641
q3348250,q3348174,127.00944669008256
q3528877,q3529082,127.00709644675254
q3348182,q3345580,127.00994600951671
q188939,q318481,127.00926676690578
q3531141,q6481681,127.00995444178581
q179266,q16382,127.0089932012558
q28614,q83557,127.00979949474335
q350379,q315706,127.00448602259159
q41244,q310328,127.00380251288414
q472623,q954720,127.00909916102886
q314714,q350379,127.00290778577327
q1459699,q34453,127.00997274219989
q96012890,q52183,127.00367443621158
q160206,q167281,127.00904769778252
q47059,q464932,127.00994276821613
q130873,q43723,127.006107519269
q193768,q439635,127.00817374885082
q3348174,q3529082,127.00861831724643
q5522870,q3527828,127.00950957894325
q379157,q233289,127.00970003008842
q4800982,q7437332,127.00995015203952
q192207,q334252,127.00989977538586
q3530745,q3529872,127.00964434802532
q3530538,q2737023,127.00975311994553
q7193054,q3531610,127.00973750710487
q365020,q19364,127.00979167222977
q43729,q208104,127.00804576218128
q26825,q1459699,107.00991192281246
q35314,q28614,127.00999725401401
q207647,q214891,127.00867067337036
q57155,q178865,107.00964827477932
q3525425,q735128,127.00929516792297
q3525177,q3520021,127.00937378585338
q313870,q162708,107.00842023015022
q464932,q184885,127.00961746573448
q810026,q3525482,127.00975059092045
q13116449,q1170634,127.00885901987553
q360927,q47059,127.00966136932374
q191799,q178865,127.00959259033203
q1459658,q191957,127.00996162831784
q3525482,q2038289,127.00908890724182
q4802486,q737645,127.00979326486588
q33168,q233289,127.00963933944702
q48410,q157578,127.00919059157371
q134068,q3529082,127.00906732439995
q3519211,q5106066,127.00951072275639
q184885,q360927,127.0087014836073
q485946,q200812,127.0099399316311
q189008,q441417,127.00999514997005
q34448,q57336,127.00599668085574
q4961182,q4679585,127.00980140805244
q312505,q93330,122.00171710312367
q3527993,q3527698,127.00679296076298
q203690,q134068,127.00333050847054
q1392178,q26992,127.0087420862913
q189542,q310380,122.00437602698803
q236503,q200812,127.00961320579052
q103774,q38393,127.00926047980785
q32927,q12140927,127.00876982212067
q193492,q200812,107.00991652607918
q3525834,q3242942,127.00963859319687
q3348235,q5262385,127.00997634887695
q41914,q9488,127.00993791341782
q185225,q39444,127.0097947460413
q3530761,q7437332,127.0095614719391
q192689,q193871,127.0027001261711
q2038289,q3518308,127.00970776021481
q3526896,q3527828,127.0099662297964
q954720,q472623,127.00261391758919
q58292,q333981,127.00994422972202
q5526073,q4899341,127.00943951785564
q52157472,q472623,125.0006994497776
q3529779,q3527828,127.00991181433201
q36226,q29328,127.00916207551955
q131355,q334252,127.00998472273349
q1766640,q3345562,127.00904859125615
q29328,q173540,127.00867060065269
q5106066,q5262385,127.00998613357544
q313903,q297000,127.00670312941074
q193871,q192689,127.00890604078769
q5262385,q3527828,127.00955944955349
q81960,q102664,107.00999030292034
q181369,q487768,127.00681578516961
q201885,q350379,107.00995673656463
q2725608,q4899341,127.00936557471752
q151364,q57441,107.00947542369366
q3525755,q3525850,127.00989943504334
q57079,q109397,127.00098557293416
q161933,q163225,125.00350192308426
q4679585,q3519211,127.00982592582703
q3527828,q5522870,127.009417142272
q4757536,q4980488,127.00982460081578
q4980488,q5526073,127.00866573810578
q3531169,q2725608,127.00933272778988
q62891,q173714,122.00870262861253
q57077,q25351,122.00855842769145
q5386369,q3530761,127.00909587085248
q7453101,q5769763,127.0096328151226
q57284,q48283,107.00994107246399
q297000,q313903,127.00677721560001
q3525850,q735128,127.00992556750775
q55691,q55769,127.00966665327549
q167281,q160206,127.00533707857132
q40262,q57072,127.00947403430939
q215522,q19364,127.00747271358966
q79983,q483145,127.00385396659374
q483145,q79983,127.00189353525639
q6983527,q3381745,127.00947021543979
q3527698,q9488,127.00917260885238
q80137,q160852,127.00988128960132
q5273218,q5262385,127.00983677923679
q57811,q152052,127.00845550119877
q5673,q472623,127.00591587603093
q7437332,q3519211,127.00966124475002
q80732,q231690,127.0097183996439
q7822480,q3520021,127.00991889238358
q335533,q311425,127.00988633692265
q30547,q156347,127.00510987102986
q167211,q128999,127.00511718809605
q3525889,q7822480,127.00969669401645
q3242942,q26992,127.00917736649514
q5284,q192245,127.0066683781147
q2047162,q231690,127.00974021434784
q229087,q180446,127.00353652894496
q311425,q33391,127.00818172216415
q3522047,q4961182,127.00962520718575
q3526352,q810026,127.00658971309662
q3531354,q4980488,127.00858596861363
q382919,q156844,127.00983440935612
q41523,q47163,122.00064440250397
q46502,q160206,127.00176486432552
q485547,q8597,127.00006681323052
q4899341,q2725608,127.00992322146892
q50020,q80137,127.00774471461773
q508255,q193768,127.00862386524678
q5639010,q3529779,127.0092334240675
q57072,q487768,127.00974646449089
q681723,q3525889,127.00926826238633
q33817,q188939,107.00974805533886
q296183,q131120,127.00976541101933
q3520021,q7822480,127.00970467865467
q160852,q134068,127.00767262458801
q192245,q5284,127.00766544878483
q313140,q316388,127.00745998442173
q7421708,q5522870,127.00949054598809
q157578,q48410,127.0086386179924
q370568,q41244,107.00975561082363
