fact_id,qid,name_a_dev,name_a_lat,name_b_dev,name_b_lat,dev_lang,relation_tier,relation_tier_num,name_b_dev_source,name_b_lat_source,generated_lat,occupation_qids,country_qids,review_method,corpus_batch,split,origin
q184218,Q184218,रायन बाबेल,Ryan Babel,रायन गुनो बाबेल,Ryan Guno Babel,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q937857,Q29999,manual original-corpus review,original,train,foreign
q184572,Q184572,मार्टिन शीन,Martin Sheen,रेमन एन्टोनिओ गेरार्डो एस्तेवेज,Ramon Antonio Gerardo Estevez,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q10798782|Q10800557|Q15253558|Q2059704|Q2259451|Q2405480|Q2526255|Q3282637|Q33999|Q3455803|Q578109,Q27|Q30,manual original-corpus review,original,train,foreign
q193517,Q193517,एमिली ब्लंट,Emily Blunt,एमिली ओलिविया लिया ब्लंट,Emily Olivia Leah Blunt,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q10798782|Q10800557|Q2259451|Q28389|Q33999,Q145|Q30,manual original-corpus review,original,test,foreign
q193568,Q193568,नुनो गोम्स,Nuno Gomes,नुनो मिगेल सोआरेस परेरा रिबेरो,Nuno Miguel Soares Pereira Ribeiro,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q937857,Q45,manual original-corpus review,original,train,foreign
q19848,Q19848,लेडी गागा,Lady Gaga,स्टेफनी जोआन अँजेलिना जर्मानोटा,Stefani Joanne Angelina Germanotta,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q10798782|Q10800557|Q12362622|Q15253558|Q177220|Q2059704|Q2405480|Q2526255|Q36834|Q488205|Q753110,Q30,manual original-corpus review,original,train,foreign
q201656,Q201656,निक जोनास,Nick Jonas,निकोलस जेरी जोनस,Nicholas Jerry Jonas,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q102277154|Q177220|Q33999|Q36834|Q488205,Q30,manual original-corpus review,original,validation,foreign
q202237,Q202237,लँडन डोनोव्हान,Landon Donovan,लँडन टिमोथी डोनोव्हान,Landon Timothy Donovan,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q2986228|Q628099|Q937857,Q30,manual original-corpus review,original,train,foreign
q206181,Q206181,हँक विल्यम्स,Hank Williams,लुक द ड्रिफ्टर,Luke the Drifter,mr,explicit_plus_alias:pseudonym,2,alias,P742,False,Q177220|Q21234378|Q2914170|Q36834|Q488205|Q55960555|Q66763670|Q855091,Q30,manual original-corpus review,original,train,foreign
q214903,Q214903,दियेगो गोडिन,Diego Godín,दियेगो रॉबेर्तो गोडिन लेआल,Diego Roberto Godín Leal,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q937857,Q77,manual original-corpus review,original,train,foreign
q2153,Q2153,सुभाषचंद्र बोस,Subhas Chandra Bose,नेताजी,Netaji,mr,alias_observed,3,alias,alias,False,Q1397808|Q18814623|Q20069267|Q30242234|Q3242115|Q36180|Q82955,Q129286,manual original-corpus review,original,test,native
q219780,Q219780,हंटर एस. थॉम्पसन,Hunter S. Thompson,हंटर स्टॉक्टन थॉम्पसन,Hunter Stockton Thompson,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q11774202|Q18814623|Q1930187|Q28389|Q33231|Q36180|Q42909|Q6625963|Q82955,Q30,manual original-corpus review,original,train,foreign
q221454,Q221454,रेने लाकोस्त,René Lacoste,ज्याँ रेने लाकोस्त,Jean René Lacoste,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q10833314|Q131524|Q13219424|Q2066131|Q3501317|Q41583,Q142,manual original-corpus review,original,test,foreign
q223233,Q223233,सॅम मेंडेस,Sam Mendes,सॅम्युएल अलेक्झांडर मेंडेस,Samuel Alexander Mendes,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q2059704|Q2526255|Q28389|Q3282637|Q3387717|Q3455803|Q578109,Q145,manual original-corpus review,original,train,foreign
q2263,Q2263,टॉम हँक्स,Tom Hanks,थोमस जेफ्री हैंक्स,Thomas Jeffrey Hanks,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q1053574|Q10798782|Q10800557|Q15949613|Q2059704|Q22343421|Q2259451|Q2405480|Q245068|Q2526255|Q28389|Q3282637|Q33999|Q3455803|Q36180|Q36834|Q47541952|Q578109|Q639669|Q69423232|Q947873|Q948329,Q30|Q41,manual original-corpus review,original,train,foreign
q22686,Q22686,डॉनल्ड ट्रंप,Donald Trump,डोनाल्ड जॉन ट्रंप,Donald John Trump,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q131524|Q215536|Q22662561|Q3282637|Q33999|Q36180|Q43845|Q484876|Q557880|Q578109|Q7301138|Q82955|Q911554,Q30,manual original-corpus review,original,validation,foreign
q230151,Q230151,रिटा मोरेनो,Rita Moreno,रोझा डोलोरेस अल्वेरीओ मार्कानो,Rosa Dolores Alverío Marcano,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q10798782|Q10800557|Q177220|Q2259451|Q2405480|Q33999|Q5716684,Q30,manual original-corpus review,original,validation,foreign
q232785,Q232785,फादर डेमियन,Father Damien,जोझेफ डि व्यूस्टर,Jozef De Veuster,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q219477|Q250867|Q435940,Q31,manual original-corpus review,original,validation,foreign
q2355026,Q2355026,ऐडन ॲशले,Aiden Ashley,ऐडेन ऍशले,Ayden Ashley,mr,explicit_plus_alias:pseudonym,2,alias,P742,False,Q488111,Q30,manual original-corpus review,original,validation,foreign
q23559,Q23559,बेनितो मुसोलिनी,Benito Mussolini,मुस्सोलीनी,Mussolini,mr,alias_observed,3,alias,alias,False,Q1930187|Q37226|Q82955,Q153660|Q172579,manual original-corpus review,original,validation,foreign
q24405,Q24405,बृहद्रथ मौर्य,Brihadratha Maurya,बृहद्रथ,Brhadrata,mr,alias_observed,3,alias,alias,False,Q1097498,Q62943,manual original-corpus review,original,train,foreign
q25351,Q25351,थियोडोर मोम्सेन,Theodor Mommsen,क्रिस्चियन मॅथियास थियोडोर मोम्सेन,Christian Matthias Theodor Mommsen,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q15632632|Q15983985|Q1622272|Q185351|Q1930187|Q2004963|Q201788|Q20873384|Q2135538|Q2599593|Q36180|Q486839|Q82955,Q1206012|Q26167|Q27306|Q43287,manual original-corpus review,original,validation,foreign
q2628981,Q2628981,भारतेंदु हरिश्चंद्र,Bharatendu Harishchandra,रसा,Rasa,mr,explicit_plus_alias:pseudonym,2,alias,P742,False,Q1930187|Q214917|Q36180|Q49757|Q6051619|Q6625963,Q129286,manual original-corpus review,original,test,native
q269014,Q269014,मिल्खा सिंग,Milkha Singh,फ्लाइंग सिख,Flying Sikh,mr,explicit_plus_alias:nickname,2,alias,P1449,False,Q11513337|Q2066131,Q129286|Q1775277|Q668,manual original-corpus review,original,test,native
q26923245,Q26923245,मिकी मॅडिसन,Mikey Madison,मिकाएला मैडिसन रोसबर्ग,Mikaela Madison Rosberg,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q10798782|Q10800557|Q2405480|Q33999,Q30,manual original-corpus review,original,train,foreign
q2808,Q2808,एल्टन जॉन,Elton John,रेजिनाल्ड केनेथ ड्वाइट,Reginald Kenneth Dwight,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q10800557|Q177220|Q36834|Q486748|Q55960555|Q639669|Q822146|Q96034777,Q145,manual original-corpus review,original,train,foreign
q28189,Q28189,अब्दुस सलाम,Abdus Salam,मोहम्मद अब्दुस सलाम,Mohammad Abdus Salam,mr,alias_observed,3,alias,alias,False,Q1622272|Q169470|Q19350898,Q129286|Q843,manual original-corpus review,original,test,native
q29021,Q29021,मौनो कोइव्हिस्टो,Mauno Koivisto,मौनो हेन्रिक कोइव्हिस्टो,Mauno Henrik Koivisto,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q188094|Q32947888|Q82955,Q33,manual original-corpus review,original,validation,foreign
q29110,Q29110,पाव्हो लिप्पोनेन,Paavo Lipponen,पाव्हो टापियो लिप्पोनेन,Paavo Tapio Lipponen,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q36180|Q82955,Q33,manual original-corpus review,original,train,foreign
q29213,Q29213,तार्या हेलोनेन,Tarja Halonen,तार्या कारिना हेलोनेन,Tarja Kaarina Halonen,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q40348|Q82955,Q33,manual original-corpus review,original,validation,foreign
q29230,Q29230,मार्टी अह्तीसारी,Martti Ahtisaari,मार्टी ऑइव्हा कलेव्ही अह्तीसारी,Martti Oiva Kalevi Ahtisaari,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q193391|Q37226|Q82955,Q33,manual original-corpus review,original,train,foreign
q297142,Q297142,ज्यो डिमाजियो,Joe DiMaggio,ज्युसेप्पे पाओलो डिमाजियो,Giuseppe Paolo DiMaggio,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q10871364,Q30,manual original-corpus review,original,train,foreign
q302,Q302,येशू ख्रिस्त,Jesus Christ,येशुआ,Yeshua,mr,alias_observed,3,alias,alias,False,Q133485|Q1349880|Q154549|Q15995642|Q2142783|Q2518689|Q352507|Q37226|Q42857|Q432386|Q51626|Q7695510|Q972672,Q16000109,manual original-corpus review,original,test,foreign
q3052772,Q3052772,इमॅन्युएल मॅक्राँ,Emmanuel Macron,एमानुएल जाँ-मिशेल फ़्रेदेरिक माक्रों,Emmanuel Jean-Michel Frédéric Macron,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q1238570|Q2883465|Q372436|Q4964182|Q599151|Q806798|Q82955,Q142,manual original-corpus review,original,train,foreign
q30875,Q30875,ऑस्कर वाइल्ड,Oscar Wilde,ऑस्कर फिंगल ओ'फ्लॅहर्टी विल्स वाइल्ड,Oscar Fingal O’Flahertie Wills Wilde,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q11774202|Q12144794|Q15949613|Q214917|Q28389|Q3064032|Q36180|Q482980|Q4853732|Q49757|Q6051619|Q6625963|Q8178443,Q142|Q145|Q174193|Q27,manual original-corpus review,original,test,foreign
q311523,Q311523,अमेरिको,Américo,दॉमिंगो जॉन्ही व्हेगा उर्झुआ,Domingo Johnny Vega Urzúa,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q177220|Q753110,Q298,manual original-corpus review,original,validation,foreign
q315500,Q315500,पुष्पकमल दाहाल,Pushpa Kamal Dahal,प्रचंड,Prachanda,mr,explicit_plus_alias:nickname,2,alias,P1449,False,Q47064|Q82955,Q837,manual original-corpus review,original,validation,foreign
q31564,Q31564,हाकान बाल्टा,Hakan Balta,हकन कादिर बल्टा,Hakan Kadir Balta,mr,alias_observed,3,alias,alias,False,Q937857,Q43,manual original-corpus review,original,test,foreign
q3284484,Q3284484,पी.टी. उषा,P. T. Usha,पय्योली एक्स्प्रेस,Payyoli Express,mr,explicit_plus_alias:nickname,2,alias,P1449,False,Q11513337,Q668,manual original-corpus review,original,train,native
q32923,Q32923,रितुपर्णो घोष,Rituparno Ghosh,रितु,Ritu,mr,alias_observed,3,alias,alias,False,Q2526255|Q28389|Q33999|Q3455803|Q36180,Q668,manual original-corpus review,original,train,native
q33228,Q33228,नादिया कोमानेची,Nadia Comăneci,नादिया एलेना कोमानेची,Nadia Elena Comăneci,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q13381572|Q2066131,Q218|Q30,manual original-corpus review,original,validation,foreign
q33391,Q33391,लेऑन ट्रॉट्स्की,Leon Trotsky,लेओन ट्रोट्स्की,Leon Trotski,mr,alias_observed,3,alias,alias,False,Q18814623|Q1930187|Q193391|Q201788|Q28528560|Q3242115|Q36180|Q47064|Q4964182|Q82955,Q133356|Q15180|Q2305208|Q34266|Q96,manual original-corpus review,original,validation,foreign
q334252,Q334252,आर. के. नारायण,R. K. Narayan,रासीपुरम् कृष्णस्वामी नारायण,Rasipuram Krishnaswami Narayan,mr,alias_observed,3,alias,alias,False,Q1930187|Q28389|Q36180|Q37226|Q6625963|Q82955,Q129286|Q1775277|Q668,manual original-corpus review,original,train,native
q3346448,Q3346448,शान,Shaan,शांतनु मुखर्जी,Shantanu Mukherjee,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q177220|Q33999|Q36834|Q639669|Q947873,Q668,manual original-corpus review,original,train,native
q3351160,Q3351160,राहुल देव बर्मन,Rahul Dev Burman,पंचम,Pancham,mr,explicit_plus_alias:pseudonym,2,alias,P742,False,Q1415090|Q33999|Q3455803|Q36834|Q55960555|Q639669,Q129286|Q1775277|Q668,manual original-corpus review,original,validation,native
q33760,Q33760,बर्ट्रांड रसेल,Bertrand Russell,बर्ट्रान्ड आर्थर विल्यम रसेल,Bertrand Arthur William Russell,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q11774202|Q1231865|Q14565331|Q15632482|Q15978337|Q16003550|Q1622272|Q16323111|Q16389557|Q16743941|Q170790|Q18814623|Q18844224|Q18930236|Q18930418|Q1930187|Q36180|Q4964182|Q82955,Q145|Q174193,manual original-corpus review,original,train,foreign
q33977,Q33977,जूल वेर्न,Jules Verne,जूल गाब्रिए वेर्न,Jules Gabriel Verne,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q18844224|Q214917|Q36180|Q4853732|Q49757|Q6625963|Q846430|Q860918,Q142,manual original-corpus review,original,train,foreign
q34253,Q34253,लीनस तोरवाल्ड्स,Linus Torvalds,लिनस बेनेडिक्ट तोरवाल्ड्स,Linus Benedict Torvalds,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q183888|Q205375|Q36180|Q43845|Q5482740|Q81096|Q8246794|Q82594,Q30|Q33,manual original-corpus review,original,train,foreign
q34436,Q34436,स्कार्लेट योहान्सन,Scarlett Johansson,स्कारलेट इंग्रिड जोहानसन,Scarlett Ingrid Johansson,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q10800557|Q177220|Q2259451|Q2405480|Q2526255|Q33999|Q4610556|Q55960555,Q30,manual original-corpus review,original,train,foreign
q34453,Q34453,बोरिस येल्त्सिन,Boris Yeltsin,बोरिस निकोलायेविच येल्त्सिन,Boris Nikolayevich Yeltsin,mr,alias_observed,3,alias,alias,False,Q1340643|Q13582652|Q81096|Q82955,Q15180|Q159,manual original-corpus review,original,test,foreign
q34460,Q34460,ग्वेनेथ पॅल्ट्रो,Gwyneth Paltrow,ग्वेनेथ केट पॅल्ट्रॉ,Gwyneth Kate Paltrow,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q10798782|Q10800557|Q134826510|Q177220|Q2259451|Q2526255|Q28389|Q33999|Q43845|Q578109|Q639669|Q753110,Q30,manual original-corpus review,original,validation,foreign
q34660,Q34660,जे.के. रोलिंग,J. K. Rowling,जोआन रोलिंग,Joanne Rowling,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q111597957|Q28389|Q3282637|Q36180|Q37226|Q482980|Q4853732|Q6625963,Q145,manual original-corpus review,original,train,foreign
q346708,Q346708,हाविये बाल्बोआ,Javier Balboa,हाविये एंजेल बाल्बोआ ओसा,Javier Ángel Balboa Osa,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q937857,Q29|Q983,manual original-corpus review,original,train,foreign
q34836,Q34836,युलिसिस एस. ग्रँट,Ulysses S. Grant,हायराम युलिसिस ग्रँट,Hiram Ulysses Grant,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q11900058|Q36180|Q372436|Q38239859|Q47064|Q82955,Q30,manual original-corpus review,original,validation,foreign
